year,creek,segment,flower.count
1997,crow,C-I,589
1997,crow,C-II,67
1997,crow,C-III,254
1997,crow,C-IV,230
1997,crow,C-V,31
1997,crow,C-VI,177
1997,crow,C-VII,0
1997,crow,C-VIII,0
1997,diamond,D-I,1236
1997,diamond,D-II,1070
1997,diamond,D-III,2346
1997,diamond,D-IV,1246
1997,diamond,D-V,28
1997,unnamed,U-I,655
1997,unnamed,U-II,1165
1998,crow,C-VIII,0
1998,diamond,D-I,1699
1999,crow,C-I,275
1999,crow,C-II,36
1999,crow,C-III,157
1999,crow,C-IV,201
1999,crow,C-V,31
1999,crow,C-VI,452
1999,crow,C-VII,0
1999,crow,C-VIII,0
1999,diamond,D-I,2011
1999,diamond,D-II,969
1999,diamond,D-III,2092
1999,diamond,D-IV,1479
1999,diamond,D-V,20
1999,unnamed,U-I,1275
1999,unnamed,U-II,2346
2000,crow,C-I,467
2000,crow,C-II,40
2000,crow,C-III,126
2000,crow,C-IV,136
2000,crow,C-V,6
2000,crow,C-VI,373
2000,crow,C-VII,0
2000,crow,C-VIII,0
2000,diamond,D-I,1041
2000,diamond,D-II,767
2000,diamond,D-III,2145
2000,diamond,D-IV,930
2000,diamond,D-V,7
2000,unnamed,U-I,290
2000,unnamed,U-II,1348
2001,crow,C-I,271
2001,crow,C-II,55
2001,crow,C-III,163
2001,crow,C-IV,132
2001,crow,C-V,40
2001,crow,C-VI,217
2001,crow,C-VII,0
2001,crow,C-VIII,0
2001,diamond,D-I,493
2001,diamond,D-II,918
2001,diamond,D-III,2422
2001,diamond,D-IV,943
2001,diamond,D-V,12
2001,unnamed,U-I,704
2001,unnamed,U-II,1097
2002,crow,C-I,197
2002,crow,C-II,49
2002,crow,C-III,143
2002,crow,C-IV,140
2002,crow,C-V,66
2002,crow,C-VI,227
2002,crow,C-VII,0
2002,crow,C-VIII,0
2002,diamond,D-I,456
2002,diamond,D-II,788
2002,diamond,D-III,1606
2002,diamond,D-IV,699
2002,diamond,D-V,33
2002,unnamed,U-I,260
2002,unnamed,U-II,1076
2003,crow,C-I,10
2003,crow,C-II,12
2003,crow,C-III,73
2003,crow,C-IV,53
2003,crow,C-V,0
2003,crow,C-VI,92
2003,crow,C-VII,0
2003,crow,C-VIII,0
2003,diamond,D-I,858
2003,diamond,D-II,551
2003,diamond,D-III,601
2003,diamond,D-IV,128
2003,diamond,D-V,11
2003,unnamed,U-I,79
2003,unnamed,U-II,4438
2004,crow,C-I,84
2004,crow,C-II,13
2004,crow,C-III,67
2004,crow,C-IV,54
2004,crow,C-V,15
2004,crow,C-VI,148
2004,crow,C-VII,0
2004,crow,C-VIII,0
2004,diamond,D-I,1322
2004,diamond,D-II,853
2004,diamond,D-III,976
2004,diamond,D-IV,242
2004,diamond,D-V,23
2004,unnamed,U-I,234
2004,unnamed,U-II,3291
2005,crow,C-I,54
2005,crow,C-II,19
2005,crow,C-III,72
2005,crow,C-IV,164
2005,crow,C-V,14
2005,crow,C-VI,274
2005,crow,C-VII,0
2005,crow,C-VIII,0
2005,diamond,D-I,1882
2005,diamond,D-II,953
2005,diamond,D-III,2828
2005,diamond,D-IV,389
2005,diamond,D-V,22
2005,unnamed,U-I,235
2005,unnamed,U-II,1397
2006,crow,C-I,58
2006,crow,C-II,12
2006,crow,C-III,19
2006,crow,C-IV,84
2006,crow,C-V,7
2006,crow,C-VI,189
2006,crow,C-VII,0
2006,crow,C-VIII,0
2006,diamond,D-I,1411
2006,diamond,D-II,643
2006,diamond,D-III,875
2006,diamond,D-IV,183
2006,diamond,D-V,4
2006,unnamed,U-I,234
2006,unnamed,U-II,2456
2007,crow,C-I,0
2007,crow,C-II,0
2007,crow,C-III,4
2007,crow,C-IV,21
2007,crow,C-V,0
2007,crow,C-VI,13
2007,crow,C-VII,0
2007,crow,C-VIII,0
2007,diamond,D-I,40
2007,diamond,D-II,14
2007,diamond,D-III,1417
2007,diamond,D-IV,21
2007,diamond,D-V,0
2007,unnamed,U-I,1
2007,unnamed,U-II,699
2008,crow,C-I,37
2008,crow,C-II,6
2008,crow,C-III,30
2008,crow,C-IV,39
2008,crow,C-V,0
2008,crow,C-VI,57
2008,crow,C-VII,6
2008,crow,C-VIII,0
2008,diamond,D-I,179
2008,diamond,D-II,61
2008,diamond,D-III,941
2008,diamond,D-IV,173
2008,diamond,D-V,6
2008,unnamed,U-I,2
2008,unnamed,U-II,379
2009,crow,C-I,56
2009,crow,C-II,20
2009,crow,C-III,96
2009,crow,C-IV,49
2009,crow,C-V,4
2009,crow,C-VI,147
2009,crow,C-VII,5
2009,crow,C-VIII,0
2009,diamond,D-I,1032
2009,diamond,D-II,232
2009,diamond,D-III,1115
2009,diamond,D-IV,271
2009,diamond,D-V,24
2009,unnamed,U-I,20
2009,unnamed,U-II,1460
2010,crow,C-I,66
2010,crow,C-II,14
2010,crow,C-III,29
2010,crow,C-IV,76
2010,crow,C-V,0
2010,crow,C-VI,154
2010,crow,C-VII,0
2010,crow,C-VIII,0
2010,diamond,D-I,334
2010,diamond,D-II,105
2010,diamond,D-III,327
2010,diamond,D-IV,187
2010,diamond,D-V,16
2010,unnamed,U-I,339
2010,unnamed,U-II,2070
2011,crow,C-I,117
2011,crow,C-II,6
2011,crow,C-III,39
2011,crow,C-IV,50
2011,crow,C-V,2
2011,crow,C-VI,192
2011,crow,C-VII,26
2011,crow,C-VIII,0
2011,diamond,D-I,1551
2011,diamond,D-II,896
2011,diamond,D-III,2225
2011,diamond,D-IV,1039
2011,diamond,D-V,11
2011,unnamed,U-I,1620
2011,unnamed,U-II,4183
2012,crow,C-I,81
2012,crow,C-II,3
2012,crow,C-III,27
2012,crow,C-IV,22
2012,crow,C-V,3
2012,crow,C-VI,145
2012,crow,C-VII,18
2012,crow,C-VIII,0
2012,diamond,D-I,3062
2012,diamond,D-II,1064
2012,diamond,D-III,923
2012,diamond,D-IV,814
2012,diamond,D-V,0
2012,unnamed,U-I,626
2012,unnamed,U-II,674
2013,crow,C-I,105
2013,crow,C-II,6
2013,crow,C-III,46
2013,crow,C-IV,15
2013,crow,C-V,4
2013,crow,C-VI,82
2013,crow,C-VII,25
2013,crow,C-VIII,0
2013,diamond,D-I,1091
2013,diamond,D-II,817
2013,diamond,D-III,667
2013,diamond,D-IV,407
2013,diamond,D-V,4
2013,unnamed,U-I,132
2013,unnamed,U-II,1932
2014,crow,C-I,156
2014,crow,C-II,36
2014,crow,C-III,100
2014,crow,C-IV,33
2014,crow,C-V,1
2014,crow,C-VI,148
2014,crow,C-VII,17
2014,crow,C-VIII,0
2014,diamond,D-I,2268
2014,diamond,D-II,1497
2014,diamond,D-III,1627
2014,diamond,D-IV,585
2014,diamond,D-V,21
2014,unnamed,U-I,275
2014,unnamed,U-II,3388
2015,crow,C-I,119
2015,crow,C-II,44
2015,crow,C-III,46
2015,crow,C-IV,48
2015,crow,C-V,0
2015,crow,C-VI,158
2015,crow,C-VII,20
2015,crow,C-VIII,0
2015,diamond,D-I,283
2015,diamond,D-II,213
2015,diamond,D-III,363
2015,diamond,D-IV,377
2015,diamond,D-V,12
2015,unnamed,U-I,346
2015,unnamed,U-II,1380
2016,crow,C-I,148
2016,crow,C-II,30
2016,crow,C-III,21
2016,crow,C-IV,29
2016,crow,C-V,2
2016,crow,C-VI,137
2016,crow,C-VII,42
2016,crow,C-VIII,0
2016,diamond,D-I,1138
2016,diamond,D-II,647
2016,diamond,D-III,926
2016,diamond,D-IV,767
2016,diamond,D-V,7
2016,unnamed,U-I,1598
2016,unnamed,U-II,2893
2017,crow,C-I,72
2017,crow,C-II,8
2017,crow,C-III,17
2017,crow,C-IV,35
2017,crow,C-V,2
2017,crow,C-VI,128
2017,crow,C-VII,25
2017,crow,C-VIII,0
2017,diamond,D-I,3049
2017,diamond,D-II,1089
2017,diamond,D-III,658
2017,diamond,D-IV,972
2017,diamond,D-V,5
2017,unnamed,U-I,807
2017,unnamed,U-II,1081
2018,crow,C-I,118
2018,crow,C-II,15
2018,crow,C-III,60
2018,crow,C-IV,33
2018,crow,C-V,0
2018,crow,C-VI,200
2018,crow,C-VII,32
2018,crow,C-VIII,2
2018,diamond,D-I,6206
2018,diamond,D-II,1560
2018,diamond,D-III,913
2018,diamond,D-IV,638
2018,diamond,D-V,8
2018,unnamed,U-I,1321
2018,unnamed,U-II,3882
